"","y","m","grupo","valor","peso","my"
"332",2014,4,"Oro",118928461.92,3644.54,Apr 2014
"333",2014,5,"Bananas",112750193.11,250150076.72,May 2014
"334",2014,5,"Carbon",934438954.28,12187586720,May 2014
"335",2014,5,"Ferroníquel",95324213.71,155642011.6,May 2014
"336",2014,5,"Flores",153139957.43,26162378.49,May 2014
"337",2014,5,"Oro",116870849.03,3503.63,May 2014
"338",2014,6,"Bananas",84222834.58,194815033.27,Jun 2014
"339",2014,6,"Carbon",513932808,6667555548,Jun 2014
"340",2014,6,"Ferroníquel",80671679.77,128161973,Jun 2014
"341",2014,6,"Flores",121705762.83,20581218.42,Jun 2014
"342",2014,6,"Oro",105074652.36,3299.63,Jun 2014
"343",2014,7,"Bananas",48758537.36,111429605.26,Jul 2014
"344",2014,7,"Carbon",611769297.28,8590831320,Jul 2014
"345",2014,7,"Ferroníquel",106222297.09,201281942.1,Jul 2014
"346",2014,7,"Flores",117530675.29,21630822.49,Jul 2014
"347",2014,7,"Oro",122243502.01,3630.85,Jul 2014
"348",2014,8,"Bananas",52358502.96,121637454.49,Aug 2014
"349",2014,8,"Carbon",602084954.82,8276824100,Aug 2014
"350",2014,8,"Ferroníquel",93281652.26,203666158.85,Aug 2014
"351",2014,8,"Flores",74253789.45,14816658.02,Aug 2014
"352",2014,8,"Oro",105614229.38,3258.95,Aug 2014
"353",2014,9,"Bananas",62066052.96,142600971.35,Sep 2014
"354",2014,9,"Carbon",756674862.73,10254652193,Sep 2014
"355",2014,9,"Ferroníquel",92396233.57,151093177,Sep 2014
"356",2014,9,"Flores",83430483.69,16942878.6,Sep 2014
"357",2014,9,"Oro",125999275.81,3918.66,Sep 2014
"358",2014,10,"Bananas",40480217.73,92757624.81,Oct 2014
"359",2014,10,"Carbon",576370164.63,7894490465,Oct 2014
"360",2014,10,"Ferroníquel",80806653.72,186440239.2,Oct 2014
"361",2014,10,"Flores",88951650.93,17151566.48,Oct 2014
"362",2014,10,"Oro",108728538.03,3538.89,Oct 2014
"363",2014,11,"Bananas",36181147.89,84755255.35,Nov 2014
"364",2014,11,"Carbon",334481672.31,4735639540,Nov 2014
"365",2014,11,"Ferroníquel",90198090.36,248760767.5,Nov 2014
"366",2014,11,"Flores",87331894.77,18137167.79,Nov 2014
